user_id,total_points_earned,total_points_spent,current_balance,first_activity,last_activity
100052,0,0,0,,
100506,23000,0,23000,2026-05-01 14:48:24.000 -0400,2026-05-01 15:18:40.000 -0400
100335,95580,500,95080,2026-02-22 11:05:13.000 -0500,2026-04-26 15:07:38.000 -0400
100133,54530,1400,53130,2025-12-30 12:17:32.000 -0500,2026-03-08 08:34:17.000 -0400
100407,16580,2250,14330,2026-04-23 13:41:26.000 -0400,2026-05-02 17:39:18.000 -0400
100252,0,0,0,,
100132,0,0,0,,
100058,11220,250,10970,2025-12-07 22:34:03.000 -0500,2025-12-07 23:02:42.000 -0500
100208,2000,0,2000,2026-01-19 19:45:09.000 -0500,2026-01-19 19:45:09.000 -0500
100396,38000,1250,36750,2026-03-31 20:00:40.000 -0400,2026-04-02 10:28:59.000 -0400
100411,0,0,0,,
100138,0,0,0,,
100282,32100,0,32100,2026-02-02 15:03:37.000 -0500,2026-05-06 13:15:55.000 -0400
100264,0,0,0,,
100523,31135,1850,29285,2026-05-07 12:37:59.000 -0400,2026-05-11 12:13:12.000 -0400
100045,0,0,0,,
100433,0,0,0,,
100169,9960,1000,8960,2026-01-14 11:54:18.000 -0500,2026-01-14 12:10:33.000 -0500
100152,0,0,0,,
100366,9500,0,9500,2026-03-23 10:36:24.000 -0400,2026-03-26 13:42:44.000 -0400
100516,57525,1000,56525,2026-05-04 14:35:49.000 -0400,2026-05-07 16:34:50.000 -0400
100131,36000,0,36000,2026-02-23 11:30:55.000 -0500,2026-02-23 11:30:55.000 -0500
100275,4045,0,4045,2026-01-30 11:10:39.000 -0500,2026-02-02 11:10:12.000 -0500
100413,0,0,0,,
100495,0,0,0,,
100333,43180,3400,39780,2026-02-21 23:34:51.000 -0500,2026-04-13 14:41:18.000 -0400
100386,0,0,0,,
100142,0,0,0,,
100248,0,0,0,,
100042,61770,2790,58980,2026-01-03 23:49:37.000 -0500,2026-03-21 11:00:44.000 -0400
100129,0,0,0,,
100360,0,0,0,,
100057,10050,1000,9050,2025-12-05 15:31:55.000 -0500,2026-01-26 09:23:32.000 -0500
100031,20520,1750,18770,2025-12-21 15:46:26.000 -0500,2026-02-10 15:31:25.000 -0500
100124,0,0,0,,
100015,2980,250,2730,2025-11-21 15:19:51.000 -0500,2025-11-21 15:35:38.000 -0500
100007,47210,500,46710,2025-11-27 12:00:00.000 -0500,2026-04-11 17:18:12.000 -0400
100487,44000,1500,42500,2026-05-09 13:53:17.000 -0400,2026-05-09 14:02:23.000 -0400
100511,60560,1400,59160,2026-05-04 16:21:14.000 -0400,2026-05-04 16:42:02.000 -0400
100444,0,0,0,,
100010,0,0,0,,
100435,0,0,0,,
100298,0,0,0,,
100207,4000,0,4000,2026-01-15 12:11:51.000 -0500,2026-01-15 12:18:34.000 -0500
100055,0,0,0,,
100030,0,0,0,,
100498,0,0,0,,
100363,0,0,0,,
100365,0,0,0,,
100215,0,0,0,,
100109,0,0,0,,
100190,124285,7900,116385,2026-01-15 15:53:30.000 -0500,2026-05-11 15:12:59.000 -0400
100456,0,0,0,,
100529,43000,1000,42000,2026-05-07 11:16:13.000 -0400,2026-05-07 11:28:49.000 -0400
100175,1100,0,1100,2026-01-20 09:40:04.000 -0500,2026-01-20 14:04:25.000 -0500
100224,0,0,0,,
100167,45915,500,45415,2026-01-07 09:35:34.000 -0500,2026-05-10 18:56:21.000 -0400
100165,0,0,0,,
100049,0,0,0,,
100324,0,0,0,,
100069,0,0,0,,
100486,0,0,0,,
100304,0,0,0,,
100087,102970,0,102970,2025-12-11 14:10:23.000 -0500,2026-05-04 13:43:49.000 -0400
100258,15570,1150,14420,2026-02-02 11:21:19.000 -0500,2026-04-23 10:14:24.000 -0400
100086,138025,1250,136775,2026-03-04 18:08:43.000 -0500,2026-05-02 14:36:07.000 -0400
100108,13180,1500,11680,2025-12-14 10:46:53.000 -0500,2025-12-14 11:10:50.000 -0500
100044,8290,810,7480,2025-12-03 22:04:42.000 -0500,2026-04-03 11:21:52.000 -0400
100221,2000,0,2000,2026-01-26 21:36:24.000 -0500,2026-01-26 21:36:24.000 -0500
100453,0,0,0,,
100145,62820,750,62070,2026-04-04 10:25:28.000 -0400,2026-04-27 12:59:41.000 -0400
100098,59520,1920,57600,2026-01-07 13:29:10.000 -0500,2026-02-25 14:09:53.000 -0500
100514,0,0,0,,
100369,29000,0,29000,2026-03-23 12:16:48.000 -0400,2026-03-23 12:16:48.000 -0400
100198,4500,0,4500,2026-02-20 13:37:51.000 -0500,2026-02-20 13:37:51.000 -0500
100380,0,0,0,,
100214,0,0,0,,
100249,67180,1000,66180,2026-01-27 00:09:35.000 -0500,2026-03-12 23:16:30.000 -0400
100345,0,0,0,,
100316,0,0,0,,
100272,2000,0,2000,2026-01-29 22:35:07.000 -0500,2026-01-29 22:35:07.000 -0500
100494,0,0,0,,
100226,63155,1790,61365,2026-01-21 23:02:05.000 -0500,2026-03-29 14:03:46.000 -0400
100113,0,0,0,,
100018,6980,520,6460,2025-11-21 19:39:37.000 -0500,2025-11-21 19:55:45.000 -0500
100395,30800,2000,28800,2026-03-31 14:02:27.000 -0400,2026-03-31 14:12:48.000 -0400
100036,62540,1020,61520,2025-12-02 09:14:46.000 -0500,2026-02-27 09:41:43.000 -0500
100202,0,0,0,,
100452,0,0,0,,
100391,52500,1950,50550,2026-04-06 10:58:21.000 -0400,2026-04-06 11:07:21.000 -0400
100268,8240,0,8240,2026-01-29 22:09:07.000 -0500,2026-01-29 22:16:16.000 -0500
100286,0,0,0,,
100492,75805,2500,73305,2026-05-01 12:34:18.000 -0400,2026-05-12 12:38:28.000 -0400
100213,0,0,0,,
100089,0,0,0,,
100505,0,0,0,,
100239,9960,0,9960,2026-01-24 01:27:58.000 -0500,2026-01-24 01:46:52.000 -0500
100217,6000,0,6000,2026-01-24 16:04:24.000 -0500,2026-01-24 16:16:10.000 -0500
100454,0,0,0,,
